,President,size,huffman_ratio,avg_cos_sim,cv
0,alan,1k,0.11635117493472585,0.9233934193789959,0.02046844669426926
1,arias,1k,0.10203436477238917,0.18068743769042195,0.315186655002697
2,bachelet,1k,0.10876466346576619,0.9964415790379046,0.0004918110103054815
3,calderon,1k,0.11408000963971562,0.035401873799133954,0.1701572233956093
4,cartes,1k,0.10138202697289357,0.054763624834827995,0.19892929565750583
5,chavez,1k,0.12016375,0.9925027199029923,0.008831649497385624
6,chinchilla,1k,0.10166098000189555,0.18354541689530013,0.3175944153384075
7,colom,1k,0.11761467149413093,0.34645803112797435,0.10843301309977008
8,correa,1k,0.11298801525331396,0.9853567896544932,0.003038574458792316
9,fenandez,1k,0.11427193549877558,0.796563836812973,0.043251678440675664
10,funes,1k,0.10233854393722364,0.05158376192254943,0.21537913596709743
11,hernandez,1k,0.11027946479407857,0.045807668558787595,0.18248232486316504
12,j_morales,1k,0.11838678503570726,0.047104235166776975,0.15619811912393064
13,kirchner,1k,0.11920901672456977,0.9964735631465911,0.0007150213967506172
14,lobo,1k,0.1079616247196611,0.07984837561687463,0.16858340067586838
15,lugo,1k,0.10271202789938413,0.05577984842769812,0.21526643749988428
16,macri,1k,0.11434842233578696,0.7824304831832647,0.06000059261633274
17,maduro,1k,0.11930822184869544,0.9662104063212871,0.041521058462967705
18,martinelli,1k,0.10445301674094604,0.26246391928559176,0.13198883905934494
19,medina,1k,0.1152956820761269,0.9941861552596092,0.000831009679802149
20,morales,1k,0.1130525802557038,0.9965472469210626,0.00042911022757522035
21,mujica,1k,0.09921777624962393,0.5167066167168319,0.13328787013561438
22,ollanta,1k,0.11767770232856352,0.9969673100948333,0.0008608455808277453
23,ortega,1k,0.10556457936596841,0.19378401519991462,0.1405378880595727
24,pena_nieto,1k,0.11730980427817961,0.9842277981698513,0.020233437045719276
25,perez,1k,0.1154317990973024,0.1721990002661944,0.12914962380309525
26,pinera,1k,0.11201521815183167,0.7320338526904584,0.054271323667521465
27,sanchez,1k,0.09162245800176835,0.3178748133532703,0.36934066500204465
28,santos,1k,0.1201257979565645,0.9970045776128769,0.0004190352801276011
29,tabare,1k,0.09198546289211935,0.10222667226772764,0.27687302547631043
30,uribe,1k,0.11941502290706067,0.9934367217004298,0.0011032500030079592
31,varela,1k,0.09521033712231614,0.07010966119747608,0.22874994486868958
32,zelaya,1k,0.11679186978875303,0.40319383852612223,0.10889148320286865
33,alan,3k,0.13157798897641806,0.9137574472274632,0.05392903985909043
34,arias,3k,0.1310916624457158,0.9963086691737175,0.007103798124833267
35,bachelet,3k,0.12411840719859893,0.8498907747164368,0.0768025447462351
36,calderon,3k,0.13362906334193955,0.8950899359121918,0.05995027987791827
37,cartes,3k,0.1249985131673896,0.9039627676501869,0.06198161662170702
38,chavez,3k,0.13036234717315345,0.612747455939278,0.10532658124776612
39,chinchilla,3k,0.12614485337584627,0.9867418372809886,0.02286957613278866
40,colom,3k,0.13432451982494148,0.9164033536478877,0.055307627321877696
41,correa,3k,0.12890718323620468,0.7440762163877488,0.09442733957796381
42,fenandez,3k,0.1318747589981545,0.8546120430035518,0.07202745745185989
43,funes,3k,0.12447139219868295,0.9521237387537955,0.04244414070931225
44,hernandez,3k,0.1299641779283638,0.9142280091017485,0.054940818345523425
45,j_morales,3k,0.13686733685650027,0.9775862455248834,0.024083480369700882
46,kirchner,3k,0.12996797693658804,0.611765228087455,0.10889967601825011
47,lobo,3k,0.12766920282539934,0.8797763464942574,0.06447258387307148
48,lugo,3k,0.12735302725773406,0.9434760295823217,0.04997276500079358
49,macri,3k,0.1289848021665027,0.8333319181919099,0.08134202594635888
50,maduro,3k,0.12794006705837174,0.5457553380606697,0.10926991740654958
51,martinelli,3k,0.1256209024296182,0.94365524263978,0.04436837918744342
52,medina,3k,0.1290548988041463,0.7451720182172954,0.09305927123853887
53,morales,3k,0.12784848976935453,0.6909839118234813,0.10097286139726444
54,mujica,3k,0.12792378401023785,0.9419818333923817,0.05814379337159692
55,ollanta,3k,0.12910327383314926,0.746218871331215,0.0940779700603192
56,ortega,3k,0.1285668089647812,0.8730741390593351,0.06591983726111306
57,pena_nieto,3k,0.12712993593170624,0.6229210402272642,0.10561761335204696
58,perez,3k,0.13368898391760178,0.9324412562251092,0.05100584941287746
59,pinera,3k,0.12729702403315526,0.8596250354640187,0.07075736973290495
60,sanchez,3k,0.12525655796289778,0.97527349434793,0.02713712435300678
61,santos,3k,0.13158097175148123,0.6868846513275058,0.10138468668627793
62,solis,3k,0.12936098574396446,0.9966462477862834,0.0008963056811676025
63,tabare,3k,0.12876332562807224,0.9965998309969901,0.00467936461187832
64,uribe,3k,0.1341982626312395,0.863782824353315,0.0703163449762934
65,varela,3k,0.11957205709316007,0.995566417890787,0.003831185281152132
66,zelaya,3k,0.13053953312323605,0.8910157187253236,0.06160658560442831
67,alan,5k,0.1364671901848887,0.783979005318135,0.08846781307641649
68,arias,5k,0.13623746380124982,0.9754026128709317,0.02693193730932816
69,bachelet,5k,0.1287803141423947,0.7268760277967901,0.09698549576888121
70,calderon,5k,0.1356417139288541,0.6921047333735972,0.09826213000555024
71,cartes,5k,0.12823832020801407,0.8258975970597937,0.0788924563089424
72,chavez,5k,0.13373172546528925,0.5133270469486713,0.11173877807670134
73,chinchilla,5k,0.1309521465594608,0.9331004369795322,0.04732388749115012
74,colom,5k,0.13745035926276564,0.784771313450858,0.08682729995070676
75,correa,5k,0.13205598863847234,0.6258616189301014,0.10684878016661675
76,fenandez,5k,0.13463985319126723,0.7147129922889173,0.09806262354352074
77,funes,5k,0.12952944674224778,0.8050757354833187,0.08184966050658429
78,hernandez,5k,0.13302985334419498,0.8238881483655422,0.07666101832918326
79,j_morales,5k,0.13992653995707288,0.8953110273748637,0.060092778863144625
80,kirchner,5k,0.13276942820742035,0.4980898123293185,0.111012073119707
81,lobo,5k,0.13028786915690568,0.7391903234366328,0.09229205986731713
82,lugo,5k,0.13114930111811215,0.8673706919625401,0.06824735484198528
83,macri,5k,0.13373858969232966,0.7511265423897653,0.09251948824917662
84,maduro,5k,0.13106407144072002,0.4807137585092336,0.11068798210708677
85,martinelli,5k,0.13053220098683554,0.8567201369836925,0.07452331728425812
86,medina,5k,0.131129904568314,0.6122161684662104,0.10798254533058854
87,morales,5k,0.13107866444685864,0.589835377668962,0.10824743914357177
88,mujica,5k,0.1320760806913226,0.8643707276515662,0.0698234966328168
89,ollanta,5k,0.13271284202126374,0.631704173774831,0.10805362780390736
90,ortega,5k,0.13288339405710042,0.7222912406049669,0.09525947305741544
91,pena_nieto,5k,0.12989027304462156,0.5030309997022151,0.11028703403688506
92,perez,5k,0.13596329882520453,0.8027395171958953,0.08339278701785832
93,pinera,5k,0.130126157455405,0.7040858827607706,0.10159530405432383
94,sanchez,5k,0.13060654273051506,0.8739728279590606,0.0651593095108345
95,santos,5k,0.13434093918486098,0.5610591566294432,0.11140137174535239
96,solis,5k,0.13559733809824495,0.9920095511466265,0.011504942922658789
97,tabare,5k,0.13366883522781914,0.9666243915110826,0.02977930789628546
98,uribe,5k,0.13671052317865004,0.7028742783810944,0.09841249168032248
99,varela,5k,0.1266809021387774,0.9719499404609204,0.03093679276022064
100,zelaya,5k,0.13267245250546716,0.7492426123566926,0.09068891075206882
101,alan,10k,0.139409849676419,0.6603117313299327,0.10396487466525943
102,arias,10k,0.13875634215177554,0.8960080271340907,0.0596916469605952
103,bachelet,10k,0.1323192820403131,0.6586325266083704,0.10303050187568392
104,calderon,10k,0.13699623086703897,0.5616494518015533,0.11024851666436301
105,cartes,10k,0.1309682670659264,0.757754123480618,0.09123013715505843
106,chavez,10k,0.13625212923876853,0.46479975005853924,0.11130925211618793
107,chinchilla,10k,0.13425846750625844,0.8463497305750847,0.07259622877982504
108,colom,10k,0.14021671479596862,0.6761621393781156,0.10138636398833965
109,correa,10k,0.13466258034734255,0.5606940620779992,0.11156039602248252
110,fenandez,10k,0.1371082882005298,0.6369339465163648,0.10665475953475383
111,funes,10k,0.1339737174483164,0.6968514984678478,0.09833449905641349
112,hernandez,10k,0.13589562960882573,0.6983269334126263,0.09947480848121218
113,j_morales,10k,0.1420011508120784,0.7697899534538388,0.09093075473956844
114,kirchner,10k,0.1359753557957106,0.4673065930104814,0.11109688678611067
115,lobo,10k,0.13266176986640124,0.6229664061386138,0.10722242543042697
116,lugo,10k,0.13433083844364863,0.7618578681727872,0.09012512118302476
117,macri,10k,0.13764690217931258,0.6790521372549236,0.1013602594672225
118,maduro,10k,0.13358704050655848,0.4462965043662115,0.11034002818484032
119,martinelli,10k,0.13392312693376268,0.7600107226394117,0.09183844004040903
120,medina,10k,0.13346384004780135,0.5622792046729475,0.11174820789571924
121,morales,10k,0.1337194395554671,0.5401024464411661,0.11171935326481867
122,mujica,10k,0.13550388260209212,0.7505300079859794,0.09153978630115572
123,ollanta,10k,0.13551201084025272,0.5575292014842852,0.10954044857550596
124,ortega,10k,0.13536261219606818,0.6256667936516926,0.10586826964126422
125,pena_nieto,10k,0.13190060204124687,0.4418012559495865,0.11114102965796753
126,perez,10k,0.1378296541876824,0.6509472123678774,0.10527217267406515
127,pinera,10k,0.13320130685535111,0.6319831625234336,0.10604934615468044
128,sanchez,10k,0.13516253239410903,0.7872034410253168,0.08824291602910536
129,santos,10k,0.13691524805710964,0.49960432208962735,0.11327012759061224
130,solis,10k,0.13675006524857142,0.9540317893475294,0.03763711017498903
131,tabare,10k,0.1357592087991262,0.8683531514510512,0.06645728777674527
132,uribe,10k,0.13873379989672666,0.5878587041649967,0.11130937466609109
133,varela,10k,0.13210661468968504,0.9256137635659427,0.05587346799330693
134,zelaya,10k,0.13492585677305888,0.6352268777132035,0.10460084860051039
